Date,Age,Cases,Hospitalized,Deaths
6/21/2020,80+,14904,3423,4894
6/21/2020,Unknown,279,1,
6/22/2020,0-19,5654,90,0
6/22/2020,20-29,14699,272,15
6/22/2020,30-39,16102,518,31
6/22/2020,40-49,15308,795,77
6/22/2020,50-59,17037,1458,286
6/22/2020,60-69,13856,2142,825
6/22/2020,70-79,9359,2391,1739
6/22/2020,80+,14923,3427,4901
6/22/2020,Unknown,272,1,
6/23/2020,0-19,5676,92,0
6/23/2020,20-29,14751,276,15
6/23/2020,30-39,16124,520,31
6/23/2020,40-49,15335,798,77
6/23/2020,50-59,17069,1465,286
6/23/2020,60-69,13881,2156,825
6/23/2020,70-79,9382,2403,1744
6/23/2020,80+,14950,3446,4912
6/23/2020,Unknown,271,1,
6/24/2020,0-19,5699,92,0
6/24/2020,20-29,14798,276,15
6/24/2020,30-39,16150,524,32
6/24/2020,40-49,15360,803,80
6/24/2020,50-59,17098,1471,285
6/24/2020,60-69,13891,2165,827
6/24/2020,70-79,9387,2421,1754
6/24/2020,80+,14956,3466,4945
6/24/2020,Unknown,272,1,
6/25/2020,0-19,5715,93,0
6/25/2020,20-29,14850,278,15
6/25/2020,30-39,16191,527,32
6/25/2020,40-49,15399,805,80
6/25/2020,50-59,17125,1473,284
6/25/2020,60-69,13910,2169,831
6/25/2020,70-79,9404,2423,1754
6/25/2020,80+,14971,3483,4967
6/25/2020,Unknown,272,1,
6/26/2020,0-19,5726,94,0
6/26/2020,20-29,14903,281,15
6/26/2020,30-39,16238,527,32
6/26/2020,40-49,15420,807,82
6/26/2020,50-59,17150,1478,284
6/26/2020,60-69,13938,2174,837
6/26/2020,70-79,9424,2438,1767
6/26/2020,80+,14999,3491,4996
6/26/2020,Unknown,272,1,
6/27/2020,0-19,5754,94,0
6/27/2020,20-29,14980,281,15
6/27/2020,30-39,16323,528,32
6/27/2020,40-49,15468,808,82
6/27/2020,50-59,17197,1479,286
6/27/2020,60-69,13982,2176,839
6/27/2020,70-79,9435,2437,1769
6/27/2020,80+,15030,3506,5018
6/27/2020,Unknown,274,1,
6/28/2020,0-19,5766,94,0
6/28/2020,20-29,15042,281,15
6/28/2020,30-39,16358,530,32
6/28/2020,40-49,15501,809,83
6/28/2020,50-59,17218,1482,287
6/28/2020,60-69,14016,2177,840
6/28/2020,70-79,9450,2437,1771
6/28/2020,80+,15045,3508,5032
6/28/2020,Unknown,271,1,
6/29/2020,0-19,5772,93,0
6/29/2020,20-29,15076,283,15
6/29/2020,30-39,16374,530,33
6/29/2020,40-49,15513,808,82
6/29/2020,50-59,17224,1483,288
6/29/2020,60-69,14025,2188,847
6/29/2020,70-79,9458,2445,1780
6/29/2020,80+,15054,3514,5050
6/29/2020,Unknown,272,1,
6/30/2020,0-19,5784,93,0
6/30/2020,20-29,15111,286,15
6/30/2020,30-39,16401,529,32
6/30/2020,40-49,15534,811,82
6/30/2020,50-59,17245,1485,287
6/30/2020,60-69,14039,2188,840
6/30/2020,70-79,9454,2442,1769
6/30/2020,80+,15041,3502,5029
6/30/2020,Unknown,273,1,
7/1/2020,0-19,5820,94,0
7/1/2020,20-29,15163,286,16
7/1/2020,30-39,16435,533,32
7/1/2020,40-49,15556,812,82
7/1/2020,50-59,17268,1486,286
7/1/2020,60-69,14066,2192,842
7/1/2020,70-79,9454,2442,1769
7/1/2020,80+,15051,3506,5050
7/1/2020,Unknown,330,1,4
7/2/2020,0-19,5843,110,0
7/2/2020,20-29,15216,286,15
7/2/2020,30-39,16466,533,32
7/2/2020,40-49,15581,813,84
7/2/2020,50-59,17304,1488,287
7/2/2020,60-69,14095,2195,845
7/2/2020,70-79,9466,2450,1778
7/2/2020,80+,15093,3516,5087
7/2/2020,Unknown,274,1,4
7/3/2020,0-19,5863,110,0
7/3/2020,20-29,15295,289,15
7/3/2020,30-39,16514,535,32
7/3/2020,40-49,15619,816,85
7/3/2020,50-59,17342,1492,286
7/3/2020,60-69,14125,2205,847
7/3/2020,70-79,9484,2462,1783
7/3/2020,80+,15117,3526,5101
7/3/2020,Unknown,269,1,0
7/4/2020,0-19,5895,111,0
7/4/2020,20-29,15360,290,15
7/4/2020,30-39,16542,535,32
7/4/2020,40-49,15648,817,85
7/4/2020,50-59,17374,1494,289
7/4/2020,60-69,14137,2211,850
7/4/2020,70-79,9488,2467,1789
7/4/2020,80+,15124,3535,5112
7/4/2020,Unknown,270,1,0
7/5/2020,0-19,5908,111,0
7/5/2020,20-29,15386,290,16
7/5/2020,30-39,16563,535,32
7/5/2020,40-49,15666,819,86
7/5/2020,50-59,17387,1493,288
7/5/2020,60-69,14164,2211,852
7/5/2020,70-79,9494,2467,1793
7/5/2020,80+,15136,3536,5116
7/5/2020,Unknown,270,1,0
7/6/2020,0-19,5927,111,0
7/6/2020,20-29,15418,290,16
7/6/2020,30-39,16603,535,32
7/6/2020,40-49,15684,818,86
7/6/2020,50-59,17405,1494,288
7/6/2020,60-69,14186,2213,853
7/6/2020,70-79,9499,2468,1794
7/6/2020,80+,15144,3539,5129
7/6/2020,Unknown,271,1,0
7/7/2020,0-19,5957,111,0
7/7/2020,20-29,15454,290,16
7/7/2020,30-39,16645,535,32
7/7/2020,40-49,15713,822,87
7/7/2020,50-59,17433,1497,289
7/7/2020,60-69,14202,2218,856
7/7/2020,70-79,9509,2474,1798
7/7/2020,80+,15154,3541,5135
7/7/2020,Unknown,271,1,0
7/8/2020,0-19,5984,111,0
7/8/2020,20-29,15528,292,16
7/8/2020,30-39,16679,538,33
7/8/2020,40-49,15740,824,86
7/8/2020,50-59,17476,1501,291
7/8/2020,60-69,14230,2221,860
7/8/2020,70-79,9526,2478,1802
7/8/2020,80+,15166,3551,5155
7/8/2020,Unknown,273,1,0
7/9/2020,0-19,6014,111,0
7/9/2020,20-29,15608,294,16
7/9/2020,30-39,16724,541,33
7/9/2020,40-49,15787,829,86
7/9/2020,50-59,17518,1508,292
7/9/2020,60-69,14259,2224,861
7/9/2020,70-79,9541,2482,1805
7/9/2020,80+,15174,3569,5175
7/9/2020,Unknown,272,1,0
7/10/2020,0-19,6039,111,0
7/10/2020,20-29,15671,294,16
7/10/2020,30-39,16751,547,35
7/10/2020,40-49,15813,829,86
7/10/2020,50-59,17559,1511,294
7/10/2020,60-69,14267,2226,863
7/10/2020,70-79,9553,2487,1808
7/10/2020,80+,15186,3576,5194
7/10/2020,Unknown,271,1,0
7/11/2020,0-19,6075,111,0
7/11/2020,20-29,15743,294,16
7/11/2020,30-39,16810,547,35
7/11/2020,40-49,15850,829,86
7/11/2020,50-59,17603,1515,295
7/11/2020,60-69,14291,2231,867
7/11/2020,70-79,9564,2489,1808
7/11/2020,80+,15189,3583,5203
7/11/2020,Unknown,273,1,0
7/12/2020,0-19,6104,111,0
7/12/2020,20-29,15789,296,16
7/12/2020,30-39,16848,547,35
7/12/2020,40-49,15880,829,86
7/12/2020,50-59,17625,1516,295
7/12/2020,60-69,14314,2233,868
7/12/2020,70-79,9571,2490,1813
7/12/2020,80+,15192,3585,5212
7/12/2020,Unknown,274,1,0
7/13/2020,0-19,6137,111,0
7/13/2020,20-29,15849,296,16
7/13/2020,30-39,16877,548,35
7/13/2020,40-49,15913,829,86
7/13/2020,50-59,17659,1516,296
7/13/2020,60-69,14346,2234,868
7/13/2020,70-79,9573,2490,1812
7/13/2020,80+,15200,3586,5217
7/13/2020,Unknown,273,1,0
7/14/2020,0-19,6193,111,0
7/14/2020,20-29,15921,297,16
7/14/2020,30-39,16926,551,35
7/14/2020,40-49,15959,831,86
7/14/2020,50-59,17698,1516,298
7/14/2020,60-69,14376,2235,869
7/14/2020,70-79,9577,2495,1815
7/14/2020,80+,15208,3588,5221
7/14/2020,Unknown,272,1,0
7/15/2020,0-19,6229,111,0
7/15/2020,20-29,15977,299,16
7/15/2020,30-39,16964,551,35
7/15/2020,40-49,15996,835,86
7/15/2020,50-59,17727,1515,300
7/15/2020,60-69,14403,2240,870
7/15/2020,70-79,9574,2506,1818
7/15/2020,80+,15206,3593,5243
7/15/2020,Unknown,271,1,0
7/16/2020,0-19,6268,111,0
7/16/2020,20-29,16054,300,16
7/16/2020,30-39,16987,551,35
7/16/2020,40-49,16022,836,86
7/16/2020,50-59,17759,1514,299
7/16/2020,60-69,14415,2244,871
7/16/2020,70-79,9592,2509,1822
7/16/2020,80+,15206,3597,5251
7/16/2020,Unknown,278,1,0
7/17/2020,0-19,6318,112,0
7/17/2020,20-29,16136,300,16
7/17/2020,30-39,17039,551,35
7/17/2020,40-49,16058,842,86
7/17/2020,50-59,17802,1514,299
7/17/2020,60-69,14439,2249,874
7/17/2020,70-79,9606,2513,1827
7/17/2020,80+,15208,3607,5264
7/17/2020,Unknown,273,3,1
7/18/2020,0-19,6364,115,0
7/18/2020,20-29,16216,301,16
7/18/2020,30-39,17102,553,35
7/18/2020,40-49,16107,842,86
7/18/2020,50-59,17856,1517,300
7/18/2020,60-69,14474,2253,876
7/18/2020,70-79,9630,2517,1828
7/18/2020,80+,15215,3608,5277
7/18/2020,Unknown,274,3,1
7/19/2020,0-19,6405,115,0
7/19/2020,20-29,16296,301,16
7/19/2020,30-39,17146,553,35
7/19/2020,40-49,16145,842,86
7/19/2020,50-59,17900,1518,300
7/19/2020,60-69,14506,2255,876
7/19/2020,70-79,9642,2517,1831
7/19/2020,80+,15230,3613,5286
7/19/2020,Unknown,264,3,1
7/20/2020,0-19,6438,116,0
7/20/2020,20-29,16364,301,16
7/20/2020,30-39,17193,553,35
7/20/2020,40-49,16187,841,86
7/20/2020,50-59,17926,1519,300
7/20/2020,60-69,14529,2257,876
7/20/2020,70-79,9652,2516,1830
7/20/2020,80+,15233,3616,5289
7/20/2020,Unknown,267,3,1
7/21/2020,0-19,6467,118,0
7/21/2020,20-29,16413,301,16
7/21/2020,30-39,17231,555,35
7/21/2020,40-49,16228,841,86
7/21/2020,50-59,17966,1518,299
7/21/2020,60-69,14563,2266,878
7/21/2020,70-79,9661,2519,1835
7/21/2020,80+,15246,3626,5301
7/21/2020,Unknown,258,2,0
7/22/2020,0-19,6516,118,0
7/22/2020,20-29,16476,301,16
7/22/2020,30-39,17286,555,35
7/22/2020,40-49,16260,842,86
7/22/2020,50-59,18010,1520,301
7/22/2020,60-69,14580,2266,879
7/22/2020,70-79,9677,2526,1839
7/22/2020,80+,15258,3631,5312
7/22/2020,Unknown,257,2,0
7/23/2020,0-19,6577,118,0
7/23/2020,20-29,16533,302,16
7/23/2020,30-39,17337,554,35
7/23/2020,40-49,16300,845,87
7/23/2020,50-59,18058,1520,301
7/23/2020,60-69,14607,2270,879
7/23/2020,70-79,9695,2529,1841
7/23/2020,80+,15283,3631,5325
7/23/2020,Unknown,257,1,0
7/24/2020,0-19,6630,119,0
7/24/2020,20-29,16621,302,16
7/24/2020,30-39,17402,555,35
7/24/2020,40-49,16335,845,87
7/24/2020,50-59,18108,1522,303
7/24/2020,60-69,14642,2274,880
7/24/2020,70-79,9700,2532,1842
7/24/2020,80+,15291,3635,5335
7/24/2020,Unknown,256,1,0
7/25/2020,0-19,6680,118,0
7/25/2020,20-29,16687,303,16
7/25/2020,30-39,17457,557,35
7/25/2020,40-49,16356,845,87
7/25/2020,50-59,18151,1528,304
7/25/2020,60-69,14668,2276,882
7/25/2020,70-79,9717,2539,1845
7/25/2020,80+,15295,3646,5341
7/25/2020,Unknown,257,1,0
7/26/2020,0-19,6737,118,0
7/26/2020,20-29,16769,303,16
7/26/2020,30-39,17531,558,35
7/26/2020,40-49,16402,848,88
7/26/2020,50-59,18193,1530,306
7/26/2020,60-69,14707,2280,883
7/26/2020,70-79,9722,2540,1846
7/26/2020,80+,15315,3650,5355
7/26/2020,Unknown,261,1,0
7/27/2020,0-19,6790,118,0
7/27/2020,20-29,16836,306,16
7/27/2020,30-39,17584,559,35
7/27/2020,40-49,16432,848,88
7/27/2020,50-59,18231,1530,308
7/27/2020,60-69,14728,2280,883
7/27/2020,70-79,9736,2539,1847
7/27/2020,80+,15329,3652,5359
7/27/2020,Unknown,260,1,0
7/28/2020,0-19,6817,118,0
7/28/2020,20-29,16908,306,16
7/28/2020,30-39,17627,559,35
7/28/2020,40-49,16467,851,88
7/28/2020,50-59,18272,1536,310
7/28/2020,60-69,14745,2284,884
7/28/2020,70-79,9746,2542,1850
7/28/2020,80+,15339,3658,5368
7/28/2020,Unknown,261,1,0
7/29/2020,0-19,6903,118,0
7/29/2020,20-29,17010,308,17
7/29/2020,30-39,17716,560,35
7/29/2020,40-49,16529,851,89
7/29/2020,50-59,18350,1541,312
7/29/2020,60-69,14795,2284,884
7/29/2020,70-79,9768,2550,1860
7/29/2020,80+,15352,3663,5383
7/29/2020,Unknown,261,1,0
7/30/2020,0-19,6971,119,0
7/30/2020,20-29,17105,308,17
7/30/2020,30-39,17786,563,35
7/30/2020,40-49,16573,853,89
7/30/2020,50-59,18425,1540,312
7/30/2020,60-69,14827,2286,886
7/30/2020,70-79,9784,2555,1865
7/30/2020,80+,15363,3668,5391
7/30/2020,Unknown,264,1,0
7/31/2020,0-19,7036,119,0
7/31/2020,20-29,17227,309,17
7/31/2020,30-39,17871,564,35
7/31/2020,40-49,16646,853,89
7/31/2020,50-59,18496,1543,313
7/31/2020,60-69,14878,2291,887
7/31/2020,70-79,9814,2557,1868
7/31/2020,80+,15381,3671,5400
7/31/2020,Unknown,263,1,0
